id,name,year,unemployment_rate
15745,"Papum Pare",2019,1
15746,"Tawang",2019,2
15747,"Tirap",2019,9
15748,"Upper Dibang Valley",2019,5
15749,"Upper Siang",2019,5
15750,"Upper Subansiri",2019,9
15751,"West Kameng",2019,7
15752,"West Siang",2019,1
15753,"Barpeta",2019,2
15754,"Bongaigaon",2019,10
15755,"Cachar",2019,2
15756,"Darrang",2019,9
15757,"Dhemaji",2019,4
15758,"Dhuburi",2019,8
15759,"Dibrugarh",2019,1
15760,"Goalpara",2019,6
15761,"Golaghat",2019,10
15762,"Hailakandi",2019,4
15763,"Jorhat",2019,5
15764,"Kamrup",2019,10
15765,"Karbi Anglong",2019,8
15766,"Karimganj",2019,6
15767,"Kokrajhar",2019,4
15768,"Lakhimpur",2019,3
15769,"Marigaon",2019,10
15770,"Nagaon",2019,5
15771,"Nalbari",2019,10
15772,"North Cachar Hills",2019,4
15773,"Sibsagar",2019,5
15774,"Sonitpur",2019,3
15775,"Tinsukia",2019,5
15776,"Araria",2019,5
15777,"Aurangabad",2019,9
15778,"Banka",2019,8
15779,"Begusarai",2019,3
15780,"Bhabua",2019,5
15781,"Bhagalpur",2019,3
15782,"Bhojpur",2019,5
15783,"Buxar",2019,1
15784,"Darbhanga",2019,6
15785,"Gaya",2019,4
15786,"Gopalganj",2019,8
15787,"Jamui",2019,3
15788,"Jehanabad",2019,1
15789,"Katihar",2019,9
15790,"Khagaria",2019,2
15791,"Kishanganj",2019,2
15792,"Lakhisarai",2019,10
15793,"Madhepura",2019,6
15794,"Madhubani",2019,8
15795,"Munger",2019,2
15796,"Muzaffarpur",2019,9
15797,"Nalanda",2019,9
15798,"Nawada",2019,8
15799,"Pashchim Champaran",2019,2
15800,"Patna",2019,6
15801,"Purba Champaran",2019,8
15802,"Purnia",2019,5
15803,"Rohtas",2019,8
15804,"Saharsa",2019,4
15805,"Samastipur",2019,5
15806,"Saran",2019,10
15807,"Sheikhpura",2019,1
15808,"Sheohar",2019,10
16013,"Tikamgarh",2019,10
16014,"Ujjain",2019,10
16015,"Umaria",2019,9
16016,"Vidisha",2019,3
16017,"West Nimar",2019,10
16018,"Ahmednagar",2019,5
16019,"Akola",2019,10
16020,"Amravati",2019,4
16021,"Aurangabad",2019,7
16022,"Bhandara",2019,9
16023,"Bid",2019,6
16024,"Buldana",2019,5
16025,"Chandrapur",2019,6
16026,"Dhule",2019,9
16027,"Garhchiroli",2019,7
16028,"Gondiya",2019,3
16029,"Greater Bombay",2019,6
16030,"Hingoli",2019,9
16031,"Jalgaon",2019,5
16032,"Jalna",2019,8
16033,"Kolhapur",2019,7
16034,"Latur",2019,3
16035,"Nagpur",2019,3
16036,"Nanded",2019,7
16037,"Nandurbar",2019,2
16038,"Nashik",2019,9
16039,"Osmanabad",2019,7
16040,"Parbhani",2019,7
15972,"Balaghat",2019,7
15973,"Barwani",2019,6
15974,"Betul",2019,3
15975,"Bhind",2019,2
15976,"Bhopal",2019,8
15977,"Burhanpur",2019,2
15978,"Chhatarpur",2019,3
15979,"Chhindwara",2019,4
15980,"Damoh",2019,2
16157,"Karauli",2019,6
16158,"Kota",2019,9
16159,"Nagaur",2019,6
16160,"Pali",2019,7
16161,"Rajsamand",2019,1
16162,"Sawai Madhopur",2019,9
16163,"Sikar",2019,8
16164,"Sirohi",2019,7
16181,"Madurai",2019,6
